"Timestamp","What is your gender?","What is the geographic scope of the policy you‚Äôre describing?","Which US state do you reside in?","Which Canadian Province / Territory do you reside in?","Does the parental leave policy you're describing include an element of short term disability (STD) cover?","The company whose policy I am describing is a:","What is the name of the company whose policy you are describing?","Do you know the date from which this policy has been in force?","For STD maternity leave, how long in weeks does policy give you off for a vaginal birth with short term disability?","For STD maternity leave, how long in weeks does policy give you off for a caesarean section birth with short term disability?","For STD maternity leave, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","How many weeks (paid or unpaid) does the policy provide for Maternity / Primary Caregiver Leave?","For Maternity / Primary Caregiver Leave, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","If your company requires you to give notice of pregnancy within a certain period, what is the minimum number of weeks before the due date which is required?","What is the minimum number of weeks of service to qualify for Maternity / Primary Caregiver Leave?","If you leave the company within a certain time period, do you have to pay back your Maternity / Primary Caregiver Leave benefits? If so, enter the number of weeks after return to work within which you would be expected to repay","Are bonuses and/or raises pro-rated if you‚Äôre away on leave for part of the year? ","How many weeks (paid or unpaid) does the policy provide for Paternity / Secondary Caregiver Leave?","For Paternity / Secondary Caregiver Leave?, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","What is the minimum number of weeks of service to qualify for Paternity / Secondary Caregiver Leave?","If you leave the company within a certain time period, do you have to pay back your Paternity / Secondary Caregiver Leave benefits? If so, enter the number of weeks after return to work within which you would be expected to repay","Are bonuses and/or raises pro-rated if you‚Äôre away on Paternity / Secondary Caregiver Leave for part of the year? ","Does any of the parental leave policy described  also apply to fostering?","Does any of the parental leave policy described  also apply to adoptions?","If you have any other comments you‚Äôd like to include with your response, please type them here."
"2024/12/03 6:40:05 PM AST","Female","United States","Washington","","No","Retail Broker","Lockton","","","","","12","12","0","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Yes","Yes",""
"2024/12/03 6:52:29 PM AST","Female","United States","Missouri","","No","Carrier","Fm","2016-01-01","","","","14 ","14","0","1","0","Unsure/Unclear","4","0","0","0","Unsure / Unclear","No","No","10 weeks maternity 4 weeks to use throughout year for bonding if chosen. Most do just the 14 weeks all at once. "
"2024/12/03 7:26:26 PM AST","Female","United States","South Carolina","","No","Wholesale Broker","Burns & wilcox","","","","","12","12","0","52","0","Unsure/Unclear","0","0","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2024/12/03 8:19:27 PM AST","Female","United States","Texas","","No","Wholesale Broker","CRC","2023-01-01","","","","20","20","0","0","0","No","12","12","0","0","No","Yes","Yes","CRC 5 months fully paid. This is not 1 off teams agreeing to this. This is our company policy for all maternity leave. "
"2024/12/03 9:05:29 PM AST","Female","United States","South Carolina","","Yes","Retail Broker","Private ","","6","8","0","12","0","0","0","0","No","0","0","0","0","No","Yes","Yes","Unpaid maternity leave, can take up to 12 weeks, STD pays about 60% of salary, no secondary leave other than using PTO, never had foster or adopt but would be leave of absence up to 12 weeks likely unpaid depending on position. We have a long way to go. My goal before I retire is to have paid leave. We are a 30 person retail agency. "
"2024/12/03 9:05:34 PM AST","Female","United States","Connecticut","","Yes","Carrier","Elevance Health","","6","8","3.6","0","0","0","0","0","Unsure/Unclear","0","0","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2024/12/03 9:58:36 PM AST","Female","United States","Texas","","Yes","MGU/MGA","Risk Theory","","6","8","3","0","0","0","0","0","Unsure/Unclear","0","0","0","0","Unsure / Unclear","No","No","No Parental Leave. Just FMLA and STD."
"2024/12/03 10:03:33 PM AST","Female","United States","North Carolina","","Yes","Fortune 500 Company (Risk Manager)","Corporation ","","12","12","8","12","8","0","0","0","Yes","2","2","0","0","Yes","Yes","Yes",""
"2024/12/03 10:30:15 PM AST","Male","United States","Illinois","","Not Sure / Unclear","Carrier","FM","","6","8","6","16","12","0","0","0","No","4","4","0","0","No","Yes","Yes",""
"2024/12/03 10:41:52 PM AST","Female","United States","Illinois","","Yes","Retail Broker","Gallagher","2023-10-01","6","8","4","4","4","6","52","0","No","4","4","52","0","Unsure / Unclear","No","Yes","Short term disability payment is tiered based on length of employment. "
"2024/12/03 11:30:47 PM AST","Female","United States","Illinois","","Yes","Carrier","AIG","","8","10","8","6","6","0","0","0","No","6","6","0","0","No","Yes","Yes",""
"2024/12/03 11:31:14 PM AST","Female","United States","Georgia","","Yes","Wholesale Broker","RT Specialty","","6","8","6","8","8","0","0","0","Unsure/Unclear","8","8","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","All of my 0’s were actual unknowns for the time to notify pregnancy, how long you have to be there for to get it and if you have to pay it back if you leave. It is not clearly stated in our policy"
"2024/12/04 1:55:00 AM AST","Female","United States","Arizona","","Yes","Carrier","Pure","","6","8","12","12","12","0","0","0","No","6","6","0","0","No","Yes","Yes",""
"2024/12/04 5:47:33 AM AST","Female","United States","Illinois","","Yes","Retail Broker","WTW","","6","8","6","8","8","0","0","0","Yes","8","8","0","0","Yes","Yes","Yes",""
"2024/12/04 8:23:01 AM AST","Female","UK","","","No","Carrier","WRB UNDERWRITING ","","","","","52","19","15","104","0","Yes","2","2","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2024/12/05 8:56:35 AM AST","Female","Australia","","","No","Retail Broker","Lockton","2021-07-01","","","","52","126","6","52","0","Yes","4","4","52","0","No","Yes","Yes",""
"2024/12/05 10:15:13 AM AST","Female","United States","North Carolina","","Yes","Retail Broker","USI Insurance","2020-04-01","12","12","12","6","6","0","52","0","Unsure/Unclear","6","6","52","0","Unsure / Unclear","Yes","Yes","Company provides 6 weeks leave paid in full. We also have a STD 100% bank where you can rollover up to 5 days unused PTO each year, & can use up to 5 weeks of that along with the 6 weeks leave. So we have 12 weeks, and 6-12 of them paid in full. With my 1st I had 12 weeks paid 100%. With my second I had 10 weeks 100% and 2 weeks 60% "
"2024/12/05 10:36:19 AM AST","Female","United States","New York","","Not Sure / Unclear","Carrier","Argo","2022-09-01","12","14","12","12","15","4","25","0","No","4","4","25","0","No","Unsure / Unclear","Yes","It’s 12 weeks fully paid through the Hartford. Then you can take 6 additional weeks through FMLA partial pay, but can use vacation days to “top up” the FMLA to full pay. I ended up taking 16 weeks at full pay. Bonus was NOT prorated "
"2024/12/05 11:36:18 AM AST","Female","United States","Virginia","","Yes","Retail Broker","Lockton","2022-01-01","6","8","6","12","12","4","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Unsure / Unclear","Yes","I’m happy with this leave policy - it’s good for a USA company, especially how it starts day 1 of your employment "
"2024/12/05 12:03:02 PM AST","Female","United States","Florida","","Yes","Carrier","Chubb","","6","8","6","12","12","0","12","0","Yes","12","12","12","0","Yes","Yes","Yes",""
"2024/12/05 1:46:13 PM AST","Female","United States","Minnesota","","Yes","Reinsurance Broker","Guy Carpenter ","2016-01-01","6","8","8","8","8","0","52","0","No","8","8","52","0","No","Unsure / Unclear","Yes","Leave can be continuous or intermittent. STD pay is 80% for less than 2 years of work, otherwise 100%. "
"2024/12/05 2:05:14 PM AST","Female","United States","Tennessee","","Yes","Wholesale Broker","AmWINS","","6","8","12","12","12","0","23","0","No","2","2","0","0","No","Unsure / Unclear","Yes","You’re missing how LONG you have to be at the company to get full pay. This is the BIGGEST thing at my company. You have to be there SEVEN years to get FULL pay which is ridiculous"
"2024/12/05 2:09:45 PM AST","Female","United States","Connecticut","","Yes","Carrier","SunLife","","24","25","24","25","25","0","0","0","Unsure/Unclear","16","16","0","0","Unsure / Unclear","Yes","Yes",""
"2024/12/05 4:02:18 PM AST","Female","United States","Pennsylvania","","Yes","Carrier","USAA","","6","8","7","12","12","0","52","0","No","12","12","52","0","Unsure / Unclear","No","Yes","STD is 6-8 weeks, and then the 12 weeks of parental leave may be used in any amount within the 12 months after the date the new child joins your home.  (You don’t have to take it all at once)"
"2024/12/05 4:48:46 PM AST","Female","United States","Georgia","","Yes","Carrier","Argo Group","2020-01-01","12","12","12","0","0","4","0","0","No","4","4","0","0","No","Yes","Yes",""
"2024/12/05 7:56:45 PM AST","Male","United States","Oregon","","No","Carrier","Arch","","","","","1","10","4.5","52","0","Unsure/Unclear","10","10","52","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/12/05 11:45:08 PM AST","Female","United States","New Jersey","","Yes","Carrier","Markel","","6","8","4.8","8","8","0","1","0","Yes","8","8","0","0","No","Unsure / Unclear","Unsure / Unclear",""
"2024/12/11 10:16:07 PM AST","Female","United States","Georgia","","Yes","Carrier","Liberty Mutual","2024-04-30","8","8","8","8","8","4","4","0","Yes","8","8","52","0","No","Unsure / Unclear","Yes",""
"2024/12/16 5:56:44 PM AST","Female","United States","Illinois","","No","Carrier","Allianz Commercial ","2023-01-01","","","","8","9.2","0","0","0","Unsure/Unclear","8","8","0","0","Unsure / Unclear","No","Yes","Handbook is confusing as it says 'applicable FMLA leave or state leave will run concurrently' under parental leave but FMLA section and short-term section confusing as well! Arg"
"2025/01/02 7:56:55 PM AST","Female","United States","Illinois","","No","Retail Broker","Aon","","","","","8","8","0","0","0","Unsure/Unclear","8","8","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/01/16 2:10:13 PM AST","Female","United States","Virginia","","Yes","Retail Broker","Unison risk advisors","","6","8","100","12","100","0","52","0","Unsure/Unclear","12","100","52","0","Unsure / Unclear","Yes","Yes",""
"2025/01/16 2:29:37 PM AST","Female","United States","New York","","Yes","Carrier","Ascot","","8","8","8","8","8","4","24","0","Unsure/Unclear","2","2","24","0","Unsure / Unclear","Yes","Yes","If you give birth and are the primary caregiver you combine those 8 weeks so 16 total or you could give birth and be the secondary caregiver for a total of 10 weeks (8+2)"
"2025/01/16 2:32:52 PM AST","Female","UK","","","No","Carrier","Travelers Syndicate ","2021-01-01","","","","52","16","15","26","0","No","2","2","0","0","No","Yes","Yes",""
"2025/01/16 2:41:13 PM AST","Female","United States","Pennsylvania","","Yes","Reinsurer","Aspen Re","2022-09-01","8","8","8","8","8","2","26","0","Unsure/Unclear","1","1","13","0","Unsure / Unclear","Yes","Yes","Maternity leave requires a medical certification of disability as a result of giving birth in order to be eligible. Not the end of the world, but dealing with insurance companies right after giving birth is SUCH A PAIN (lord knows it wasn’t my husband handling this)."
"2025/01/16 2:43:31 PM AST","Female","United States","New York","","Not Sure / Unclear","Carrier","Sompo","","26","26","100","26","26","4","52","0","No","4","4","52","0","No","Unsure / Unclear","Yes",""
"2025/01/16 3:18:26 PM AST","Female","Bermuda","","","No","Reinsurer","Ascot Re Bermuda","2022-02-01","","","","16","16","4","0","0","Unsure/Unclear","2","2","0","0","No","No","No",""
"2025/01/16 3:31:23 PM AST","Female","United States","Pennsylvania","","Yes","Carrier","Philadelphia Insurance Companies","2012-01-01","6","8","2","12","2","0","40","0","No","2","0","0","0","No","Yes","Yes","2 weeks fully paid is bullshit"
"2025/01/16 3:40:36 PM AST","Female","United States","California","","Yes","Retail Broker","Newfront","","6","8","6","12","12","4","24","0","Yes","12","12","24","0","Yes","Yes","Yes",""
"2025/01/16 3:40:41 PM AST","Female","United States","Illinois","","Yes","Retail Broker","Gallagher","","6","6","9","12","0","0","1","0","Unsure/Unclear","0","0","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/01/16 3:59:14 PM AST","Female","United States","Florida","","No","Retail Broker","Lockton Northeast","","","","","12","12","4","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2025/01/16 4:00:12 PM AST","Female","United States","Pennsylvania","","No","Retail Broker","Conner Strong & Buckelew","2025-01-01","","","","8","8","0","24","24","Unsure/Unclear","8","8","24","0","Unsure / Unclear","No","Yes",""
"2025/01/16 4:02:20 PM AST","Female","UK","","","No","Carrier","Travelers","","","","","52","16","12","24","0","Unsure/Unclear","2","2","24","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","My husband who works at another carrier gets more paid paternity than I do maternity. And I don’t remember him having to carry a baby or push it out. Sort it out TRV!! "
"2025/01/16 4:11:43 PM AST","Female","United States","Missouri","","No","Retail Broker","Lockton","","","","","12","12","0","0","0","No","12","12","0","0","No","No","Yes","If both spouses work for Lockton they have to split the 12 weeks between them :/"
"2025/01/16 4:13:21 PM AST","Female","United States","Illinois","","Not Sure / Unclear","Reinsurance Broker","Boost Insurance","2023-01-01","16","16","16","16","16","8","26","0","Unsure/Unclear","16","16","26","0","Unsure / Unclear","No","Yes",""
"2025/01/16 4:22:09 PM AST","Female","United States","Illinois","","Yes","Retail Broker","Aon","","6","8","8","8","8","0","0","0","No","8","8","0","0","No","Yes","Yes",""
"2025/01/16 4:38:02 PM AST","Female","UK","","","Not Sure / Unclear","Carrier","Convex","2020-01-01"," 1","1","1","52","26","12","0","0","Yes","26","26","1","0","Yes","Unsure / Unclear","Unsure / Unclear",""
"2025/01/16 4:49:03 PM AST","Female","United States","Wisconsin","","Not Sure / Unclear","Carrier","Secura insurance ","2020-01-01","12","14","12","12","12","0","0","0","No","2","2","0","0","No","Unsure / Unclear","Yes",""
"2025/01/16 4:52:40 PM AST","Female","United States","Florida","","No","Retail Broker","Foundation Risk Partners","","","","","12","0","4","52","0","Unsure/Unclear","12","0","12","0","Unsure / Unclear","Yes","Yes",""
"2025/01/16 5:16:01 PM AST","Prefer not to say","United States","Pennsylvania","","Not Sure / Unclear","Carrier","Beazley","2022-01-01","26","26","26","26","26","12","0","0","Yes","26","26","0","0","Yes","Yes","Yes","N/a"
"2025/01/16 5:50:27 PM AST","Female","United States","Illinois","","Not Sure / Unclear","Carrier","HDI Global","2015-01-01","16","16","16","16","16","0","52","0","Unsure/Unclear","4","4","52","0","Unsure / Unclear","No","Yes","4 weeks full paid for adoptions "
"2025/01/16 6:00:52 PM AST","Female","United States","Illinois","","No","Carrier","Sompo","2020-06-01","","","","26","26","0","52","0","No","4","4","52","0","No","Unsure / Unclear","Yes",""
"2025/01/16 6:17:40 PM AST","Female","United States","Colorado","","Yes","Retail Broker","Lockton","","6","8","4","12","12","0","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Yes","Yes","Because my spouse also works at Lockton, we only received a combined 12 weeks. Luckily our state also has a paid family leave program. Without it my spouse would not be able to have any family leave. 

That aside, I’ve have received so much support from my team while pregnant and now out on leave."
"2025/01/16 6:49:33 PM AST","Female","UK","","","No","Carrier","Lloyds syndicate Ki","2024-01-01","","","","16","16","26","52","0","Yes","4","4","52","0","Yes","Yes","Yes",""
"2025/01/16 8:52:40 PM AST","Female","United States","Illinois","","Yes","Carrier","Liberty Mutual ","2018-01-01","6","8","8","8","8","0","52","0","Yes","8","8","0","0","Yes","Unsure / Unclear","Yes",""
"2025/01/16 10:16:19 PM AST","Female","United States","Illinois","","Yes","Carrier","FM","","8","8","8","12","12","0","30","0","Yes","6","12","30","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2025/01/16 10:44:13 PM AST","Female","United States","Illinois","","Yes","Retail Broker","Brown & Brown","","6","8","5","12","6","0","24","0","Unsure/Unclear","0","0","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/01/16 11:46:39 PM AST","Male","United States","New York","","Not Sure / Unclear","Retail Broker","Marsh","","12","114","12","12","12","0","0","2","No","8","12","0","2","No","Unsure / Unclear","Unsure / Unclear","Marsh uses your vacation days/ hours to offset what NY PFL will not provide for weeks 9-12 of leave"
"2025/01/17 12:41:41 AM AST","Female","United States","California","","No","Retail Broker","Marsh McLennan","2024-10-01","","","","15","15","0","0","0","No","6","6","0","0","No","Yes","Yes",""
"2025/01/17 8:18:36 AM AST","Female","United States","New York","","Yes","Carrier","Skyward ","","6","8","3","6","6","0","365","0","Unsure/Unclear","2","2","365","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2025/01/17 8:20:35 AM AST","Female","United States","Florida","","Yes","Retail Broker","Hub","2024-01-01","5","5","5","5","5","12","0","0","No","2","2","0","0","No","Unsure / Unclear","Unsure / Unclear",""
"2025/01/17 2:29:11 PM AST","Female","United States","Texas","","Yes","Carrier","Sompo","2021-01-01","26","26","100","26","100","0","52","0","No","4","100","52","0","No","No","Yes",""
"2025/01/17 10:21:37 PM AST","Female","United States","Illinois","","Yes","Carrier","Chubb ","","6","8","0","12","8","0","52","0","Yes","12","8","52","0","Unsure / Unclear","Yes","Yes","My maternity leave was 20 weeks with 8 weeks fully paid on short term disability then Chubb’s 12 week new parent leave (8 weeks fully paid, 4 weeks unpaid). 

I work with a very high producing underwriter that was deserving of an award in 2024, but she left to have her baby in October and people were saying she didn’t get the award because she “wasn’t there the entire year”. She outperformed almost every person on her team in 10 months vs the 12 the rest of them worked. 

I know of another woman who is being asked to travel her first week back at work from maternity leave. "
"2025/02/01 11:43:59 AM AST","Male","United States","Pennsylvania","","No","Reinsurance Broker","Gallagher","","","","","8","8","12","1","0","Unsure/Unclear","4","4","1","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/02/01 3:26:20 PM AST","Female","United States","Texas","","No","Carrier","Starr","","","","","16","16","0","4 ","0","Unsure/Unclear","8","8","4","0","Unsure / Unclear","Yes","Yes",""
"2025/02/01 5:40:27 PM AST","Female","United States","Georgia","","Yes","Carrier","Berkshire Hathaway Specialty Insurance","","12","12","12","4","4","0","0","0","No","4","4","0","0","No","Unsure / Unclear","Unsure / Unclear",""
"2025/02/02 8:15:20 AM AST","Female","UK","","","No","Carrier","Liberty","","","","","26 ","26","12","26","0","No","8","8","26","0","No","Yes","Yes",""
"2025/02/07 12:32:24 AM AST","Female","United States","New York","","Not Sure / Unclear","Carrier","QBE","","24","24","24","24","24","0","0","0","No","24","24","0","0","No","Yes","Yes",""
"2025/02/07 8:39:08 AM AST","Female","United States","Maryland","","Yes","Retail Broker","Gallagher ","","6","6","6","6","6","0","12","0","Unsure/Unclear","4","4","4","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/02/07 8:50:49 AM AST","Male","UK","","","No","Carrier","Starr ","2019-05-01","","","","39","26","15","26","52","Yes","2","2","26","52","No","No","Yes",""
"2025/02/07 9:06:25 AM AST","Female","UK","","","No","Retail Broker","Lockton UK","","","","","52","32","15","26","0","Unsure/Unclear","12","12","26","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2025/02/07 9:29:08 AM AST","Female","United States","New Jersey","","Yes","Carrier","Zurich","","6","8","6","12","12","0","24","0","Yes","12","12","24","0","Yes","Yes","Yes",""
"2025/02/07 9:45:21 AM AST","Female","United States","Illinois","","Yes","Reinsurer","Scor ","","8","8","8","8","8","0","0","0","Unsure/Unclear","8","8","0","0","Unsure / Unclear","Unsure / Unclear","Yes","The paternity leave does not have to be consecutive weeks so our team has really enjoyed having it to support their partner as they need to and bond with their babies. "
"2025/02/07 9:45:57 AM AST","Male","United States","New Jersey","","Yes","Carrier","Arch","","6","8","6","10","10","0","0","0","Unsure/Unclear","10","10","0","0","Unsure / Unclear","Yes","Yes",""
"2025/02/07 9:46:28 AM AST","Female","United States","Missouri","","Yes","Retail Broker","Lockton","","6","8","8","12","20","0","0","0","No","12","12","0","0","No","Yes","Yes",""
"2025/02/07 9:47:36 AM AST","Female","United States","Illinois","","Not Sure / Unclear","Carrier","Axis","2017-09-01","6","8","5","16","16","0","0","0","Unsure/Unclear","16","16","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/02/07 9:51:18 AM AST","Female","United States","Connecticut","","No","Carrier","Beazley ","2022-01-01","","","","26","26","12","0","0","No","26","26","0","0","No","Yes","Yes",""
"2025/02/07 9:55:33 AM AST","Female","United States","California","","No","Carrier","Aspen Insurance ","2016-01-01","","","","16","16","0","0","0","No","2","2","0","0","No","Unsure / Unclear","Yes",""
"2025/02/07 10:03:31 AM AST","Female","United States","Kansas","","No","Retail Broker","Lockton","","","","","12","12","0","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2025/02/07 10:48:53 AM AST","Female","United States","Michigan","","Yes","Retail Broker","Marsh McLennan Agency PSC-N","","6","8","6","8","8","0","52","0","Yes","8","8","52","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","I was denied a promotion while I was out on maternity leave twice, once for each pregnancy. That’s why I left the company. "
"2025/02/07 11:28:19 AM AST","Female","Canada","","Ontario","Yes","Reinsurance Broker","Aon","","6","1","0","52","6","12","12","52","No","0","0","0","0","No","Unsure / Unclear","Unsure / Unclear",""
"2025/02/07 12:41:44 PM AST","Female","United States","North Carolina","","No","Wholesale Broker","CRC","2000-01-01","","","","20","20","0","0","0","Unsure/Unclear","20","20","0","0","Unsure / Unclear","Yes","Yes",""
"2025/02/07 3:59:36 PM AST","Female","United States","Illinois","","Not Sure / Unclear","Carrier","Chubb","2022-08-01","12","12","8","12","8","4","13","0","Unsure/Unclear","12","8","13","0","Unsure / Unclear","Yes","Yes",""
"2025/02/07 5:18:17 PM AST","Female","United States","New York","","No","Reinsurer","RENAISSANCERE","2022-06-01","","","","20","20","0","0","0","No","3","3","0","0","Yes","Unsure / Unclear","Yes",""